Date,Average Cost,
2011.09.06,82.22,
2011.09.07,73.46,
2011.09.08,71.44,
2011.09.09,59.83,
2011.09.10,59.06,
2011.09.11,48.85,
2011.09.12,86.73,
2011.09.13,93.06,
2011.09.14,66.38,
2011.09.15,98.22,
2011.09.16,69.06,
2011.09.17,79.78,
2011.09.18,65.03,
2011.09.19,59.26,
2011.09.20,61.56,
2011.09.21,68.42,
2011.09.22,58.71,
2011.09.23,62.82,
2011.09.24,69.12,
2011.09.25,45.93,
2011.09.26,54.89,
2011.09.27,66.74,
2011.09.28,57.61,
2011.09.29,58.90,
2011.09.30,59.03,
2011.10.01,49.91,
2011.10.02,40.46,
2011.10.03,60.02,
2011.10.04,56.05,
2011.10.05,61.63,
2011.10.06,73.62,
2011.10.07,53.34,
2011.10.08,43.44,
2011.10.09,44.31,
2011.10.10,49.16,
2011.10.11,54.57,
2011.10.12,60.33,
2011.10.13,86.36,
2011.10.14,60.16,
2011.10.15,57.81,
2011.10.16,45.63,
2011.10.17,56.40,
2011.10.18,54.49,
2011.10.19,58.86,
2011.10.20,61.62,
2011.10.21,62.67,
2011.10.22,50.86,
2011.10.23,42.84,
2011.10.24,55.55,
2011.10.25,63.97,
2011.10.26,58.98,
2011.10.27,56.87,
2011.10.28,56.83,
2011.10.29,50.84,
2011.10.30,43.68,
2011.10.31,47.50,
2011.11.01,49.55,
2011.11.02,67.39,
2011.11.03,75.30,
2011.11.04,56.43,
2011.11.05,64.41,
2011.11.06,54.89,
2011.11.07,58.02,
2011.11.08,62.41,
2011.11.09,60.58,
2011.11.10,63.80,
2011.11.11,66.19,
2011.11.12,57.37,
2011.11.13,47.49,
2011.11.14,62.30,
2011.11.15,68.86,
2011.11.16,73.04,
2011.11.17,71.77,
2011.11.18,69.10,
2011.11.19,84.33,
2011.11.20,71.36,
2011.11.21,75.07,
2011.11.22,75.79,
2011.11.23,87.08,
2011.11.24,79.13,
2011.11.25,71.70,
2011.11.26,50.86,
2011.11.27,41.12,
2011.11.28,77.88,
2011.11.29,86.26,
2011.11.30,62.04,
2011.12.01,69.22,
2011.12.02,69.25,
2011.12.03,65.97,
2011.12.04,68.09,
2011.12.05,56.67,
2011.12.06,71.19,
2011.12.07,61.89,
2011.12.08,65.73,
2011.12.09,71.51,
2011.12.10,56.60,
2011.12.11,48.76,
2011.12.12,68.30,
2011.12.13,73.82,
2011.12.14,66.34,
2011.12.15,63.74,
2011.12.16,48.50,
2011.12.17,44.55,
2011.12.18,47.38,
2011.12.19,54.29,
2011.12.20,58.27,
2011.12.21,55.85,
2011.12.22,58.58,
2011.12.23,42.75,
2011.12.24,80.97,
2011.12.25,32.36,
2011.12.26,23.94,
